employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
21979,Procurement,region_7,Bachelors,m,other,1,34,5.0,3,1,0,72
38273,Sales & Marketing,region_28,Bachelors,m,other,1,41,3.0,6,0,0,51
13899,Operations,region_23,Bachelors,m,sourcing,1,31,1.0,8,0,0,57
69866,Operations,region_32,,m,sourcing,1,28,3.0,2,0,0,61
66713,Technology,region_2,Masters & above,f,other,1,42,1.0,9,0,0,78
53709,Procurement,region_16,Masters & above,m,other,1,34,5.0,9,1,0,72
47798,HR,region_2,Bachelors,m,referred,1,28,,1,0,0,50
6567,Operations,region_16,Bachelors,f,sourcing,1,29,4.0,5,0,0,60
26350,Procurement,region_2,Masters & above,m,sourcing,1,36,5.0,2,1,0,65
29399,Analytics,region_22,Bachelors,m,other,2,31,3.0,5,0,0,86
35122,Procurement,region_7,Bachelors,m,other,1,39,3.0,13,0,0,67
76726,Analytics,region_2,Masters & above,m,other,1,36,3.0,3,0,0,83
37558,Operations,region_3,Masters & above,m,other,1,34,3.0,4,0,0,55
57458,Finance,region_28,Masters & above,m,sourcing,2,39,1.0,7,0,0,59
39835,Procurement,region_22,Bachelors,m,other,4,27,5.0,2,1,0,69
23930,Sales & Marketing,region_28,Bachelors,m,sourcing,1,37,1.0,9,0,0,51
4976,Sales & Marketing,region_2,Bachelors,f,other,1,56,3.0,4,0,0,45
1561,HR,region_16,Bachelors,m,sourcing,1,31,4.0,6,0,0,54
31187,Sales & Marketing,region_5,Bachelors,f,other,1,27,,1,0,1,48
63423,Sales & Marketing,region_2,,m,sourcing,1,23,3.0,2,0,0,48
14723,Finance,region_2,Bachelors,f,other,1,40,3.0,4,0,0,58
74159,Sales & Marketing,region_11,,m,sourcing,1,36,3.0,10,0,0,51
63274,HR,region_22,Bachelors,m,sourcing,1,25,5.0,2,0,0,49
36245,Technology,region_13,Masters & above,f,referred,1,38,4.0,9,0,0,79
26217,Sales & Marketing,region_2,Bachelors,m,sourcing,1,27,4.0,5,0,0,45
42755,Sales & Marketing,region_26,Bachelors,m,sourcing,1,30,3.0,4,0,0,51
31373,HR,region_19,Bachelors,m,other,1,33,4.0,3,0,0,52
5143,Operations,region_29,Bachelors,m,sourcing,1,35,4.0,6,1,0,64
54062,Sales & Marketing,region_27,Bachelors,m,sourcing,1,31,3.0,5,0,0,47
41258,Procurement,region_27,Bachelors,f,other,1,33,1.0,7,1,0,66
21696,Procurement,region_7,Bachelors,f,other,2,53,5.0,8,0,0,69
60992,Procurement,region_11,Bachelors,m,sourcing,1,36,5.0,8,1,0,67
51667,HR,region_2,Bachelors,f,other,1,41,4.0,15,0,0,49
6197,Sales & Marketing,region_28,Bachelors,m,sourcing,2,39,5.0,7,1,0,50
42833,Operations,region_31,Bachelors,m,other,1,29,3.0,2,0,0,57
21402,Sales & Marketing,region_29,Bachelors,m,other,2,26,1.0,5,0,0,50
4870,Procurement,region_13,Bachelors,m,other,2,36,3.0,11,0,0,69
18422,Operations,region_2,Bachelors,m,sourcing,1,52,4.0,9,0,0,59
1024,Technology,region_7,Bachelors,m,other,1,23,,1,0,0,82
26426,Technology,region_2,Bachelors,m,referred,1,27,,1,1,0,78
75171,Procurement,region_7,Masters & above,m,sourcing,1,39,4.0,12,1,0,64
74442,Finance,region_4,Masters & above,m,other,1,40,4.0,3,1,0,61
68039,Analytics,region_25,Bachelors,m,other,2,29,5.0,2,0,0,88
29733,Operations,region_8,Masters & above,m,other,1,36,5.0,5,1,0,59
8220,Procurement,region_26,Bachelors,f,sourcing,1,33,4.0,7,0,0,68
32007,Finance,region_25,Bachelors,m,other,2,30,5.0,6,1,0,59
46909,Technology,region_8,Masters & above,m,sourcing,1,36,2.0,7,0,0,78
33579,Sales & Marketing,region_22,Bachelors,m,other,1,29,4.0,3,1,0,51
35456,Finance,region_2,Bachelors,f,other,1,60,4.0,16,1,0,62
65592,Operations,region_29,Bachelors,m,sourcing,1,36,3.0,9,0,0,63
75072,Operations,region_2,Bachelors,m,sourcing,1,36,4.0,11,0,0,54
58386,Analytics,region_25,Masters & above,m,other,1,33,4.0,5,0,0,89
75947,Procurement,region_28,Bachelors,f,other,1,29,3.0,4,0,0,64
59065,Sales & Marketing,region_22,Bachelors,m,other,1,20,3.0,2,0,0,54
69393,Operations,region_30,Masters & above,f,other,1,41,3.0,8,0,0,61
10563,Legal,region_11,Bachelors,m,sourcing,1,33,4.0,3,0,0,60
16547,Procurement,region_11,Bachelors,f,other,1,34,3.0,7,0,0,67
71186,Technology,region_25,Bachelors,f,sourcing,1,26,4.0,3,0,0,79
45885,Sales & Marketing,region_7,Bachelors,f,sourcing,1,31,1.0,7,0,0,51
29366,Operations,region_19,Bachelors,m,other,1,35,5.0,10,0,0,62
10805,Sales & Marketing,region_9,Bachelors,m,sourcing,1,27,,1,0,0,49
3684,Sales & Marketing,region_2,Bachelors,f,sourcing,1,42,4.0,10,0,0,45
69102,Sales & Marketing,region_31,Bachelors,f,sourcing,1,32,5.0,8,1,0,53
45678,HR,region_32,Bachelors,f,sourcing,1,30,3.0,3,0,0,52
12213,Sales & Marketing,region_12,Masters & above,m,sourcing,1,38,1.0,14,0,0,53
62166,Technology,region_2,Bachelors,f,other,2,37,5.0,4,1,1,93
14354,Operations,region_2,Bachelors,f,referred,1,33,3.0,4,1,1,63
52629,Finance,region_2,Bachelors,m,sourcing,1,40,2.0,11,1,0,59
39762,Operations,region_2,,f,other,1,28,5.0,2,1,0,61
70467,Analytics,region_2,Bachelors,m,sourcing,2,27,3.0,2,0,0,85
76481,Sales & Marketing,region_23,Masters & above,f,sourcing,1,40,1.0,7,1,0,51
51458,Finance,region_26,Bachelors,m,other,4,33,1.0,4,0,0,61
24929,Operations,region_28,Bachelors,f,sourcing,1,27,3.0,2,1,0,52
52309,Finance,region_2,Bachelors,m,sourcing,1,33,5.0,6,1,0,58
29622,Finance,region_6,Bachelors,f,other,1,28,5.0,4,1,0,58
55692,Sales & Marketing,region_13,Bachelors,f,other,1,32,4.0,4,0,0,53
22850,Sales & Marketing,region_34,Bachelors,m,other,1,35,4.0,4,0,0,49
21569,Analytics,region_7,Bachelors,m,other,1,29,4.0,6,1,0,87
41632,Sales & Marketing,region_31,Bachelors,m,sourcing,2,33,3.0,9,0,0,47
32614,Procurement,region_26,Bachelors,f,sourcing,1,33,5.0,7,1,0,68
27756,Analytics,region_22,Bachelors,f,sourcing,2,28,3.0,3,0,0,86
20,Analytics,region_21,Bachelors,m,sourcing,1,27,,1,1,0,89
2113,Technology,region_2,Bachelors,m,sourcing,1,25,,1,1,0,82
24047,HR,region_22,Bachelors,m,sourcing,1,28,3.0,2,0,0,50
71004,Sales & Marketing,region_4,Masters & above,m,sourcing,1,31,3.0,4,0,0,53
25928,HR,region_22,Bachelors,m,sourcing,1,32,4.0,6,1,0,52
877,Sales & Marketing,region_11,Bachelors,m,sourcing,1,34,3.0,7,1,0,49
12755,Sales & Marketing,region_28,Bachelors,m,sourcing,1,32,3.0,4,1,0,49
73396,Operations,region_29,Masters & above,m,sourcing,2,34,4.0,6,1,0,60
29489,Sales & Marketing,region_28,Bachelors,m,sourcing,1,37,3.0,2,0,0,57
53411,Sales & Marketing,region_15,Bachelors,m,sourcing,1,25,,1,1,0,52
69522,Sales & Marketing,region_27,Bachelors,m,other,4,28,3.0,2,1,1,92
42387,Sales & Marketing,region_11,Bachelors,m,sourcing,1,35,1.0,9,0,0,52
72526,Sales & Marketing,region_19,Bachelors,m,other,3,35,3.0,2,0,0,49
58407,Technology,region_2,Bachelors,m,other,2,25,,1,1,0,83
16182,Operations,region_22,Masters & above,m,referred,1,37,5.0,10,1,0,62
1430,Operations,region_31,Bachelors,f,other,1,33,3.0,8,1,0,57
32645,Sales & Marketing,region_2,Bachelors,m,other,2,29,4.0,2,0,0,49
50941,Operations,region_15,Bachelors,m,other,1,48,5.0,17,1,0,60
44490,Legal,region_7,Bachelors,m,sourcing,3,34,3.0,4,0,0,60
14054,Procurement,region_29,Bachelors,m,other,2,30,4.0,6,0,0,65
58315,Finance,region_2,Masters & above,m,other,1,35,3.0,6,0,0,58
50509,Sales & Marketing,region_2,Bachelors,m,referred,1,34,5.0,4,0,0,49
40673,Analytics,region_28,Bachelors,m,sourcing,1,31,5.0,7,1,0,89
61086,Procurement,region_15,Masters & above,m,sourcing,1,34,5.0,8,0,0,80
29678,Technology,region_15,Bachelors,m,other,1,35,1.0,7,0,0,85
22298,Sales & Marketing,region_9,Masters & above,m,other,1,28,1.0,2,0,0,50
42407,Sales & Marketing,region_13,Masters & above,m,other,1,38,2.0,10,0,0,49
42044,Analytics,region_15,Bachelors,m,other,2,28,2.0,4,0,0,89
46446,Sales & Marketing,region_11,Masters & above,m,sourcing,1,39,3.0,3,0,0,46
20021,Sales & Marketing,region_13,Bachelors,f,other,1,29,2.0,3,1,0,51
37984,HR,region_2,Bachelors,m,sourcing,1,48,4.0,16,0,0,52
2933,Analytics,region_4,Bachelors,m,other,2,29,3.0,6,0,0,82
17915,Sales & Marketing,region_2,Masters & above,f,sourcing,2,33,3.0,3,0,0,48
66750,Sales & Marketing,region_4,Bachelors,m,other,1,43,2.0,8,1,0,53
62307,Operations,region_11,Masters & above,f,other,1,38,1.0,7,0,0,71
64385,Operations,region_26,Masters & above,m,sourcing,1,43,2.0,13,0,0,61
51527,Procurement,region_27,Bachelors,f,other,2,28,3.0,2,0,0,69
55258,Operations,region_2,Bachelors,m,sourcing,1,41,5.0,2,1,0,59
6722,Legal,region_2,Bachelors,m,other,1,34,1.0,5,0,0,58
44031,Operations,region_27,Masters & above,m,other,1,41,3.0,7,1,0,60
35379,Analytics,region_31,Bachelors,m,other,3,29,5.0,6,1,0,87
63728,Sales & Marketing,region_15,Bachelors,f,other,1,34,5.0,7,1,0,44
57125,Sales & Marketing,region_2,Bachelors,m,other,2,53,3.0,19,0,0,53
74960,Technology,region_2,Bachelors,f,other,1,42,1.0,6,0,0,83
58502,Operations,region_2,Bachelors,f,other,2,33,3.0,5,0,0,56
53176,Technology,region_2,,m,sourcing,1,41,3.0,12,0,0,80
76891,Technology,region_2,Bachelors,m,other,1,56,1.0,28,0,0,78
11646,Procurement,region_13,Bachelors,m,sourcing,2,35,3.0,2,0,0,70
33831,Procurement,region_19,Bachelors,m,sourcing,1,41,4.0,16,1,0,68
13083,Technology,region_2,Bachelors,m,other,1,47,4.0,8,1,0,75
23331,Technology,region_20,Bachelors,f,sourcing,1,28,3.0,2,0,0,82
48566,Finance,region_2,Bachelors,f,other,1,36,4.0,9,0,0,62
15262,Sales & Marketing,region_25,Bachelors,m,other,2,29,5.0,5,1,0,52
51391,Technology,region_2,Bachelors,f,other,1,51,4.0,21,0,0,82
45593,Operations,region_2,Masters & above,m,sourcing,1,43,5.0,15,1,0,66
71782,Sales & Marketing,region_19,Bachelors,m,other,1,39,2.0,9,0,0,50
37056,R&D,region_4,Masters & above,m,other,1,34,3.0,7,0,0,86
72166,Analytics,region_2,Masters & above,m,sourcing,1,49,2.0,7,0,0,85
46542,Analytics,region_2,Masters & above,m,sourcing,1,49,4.0,19,0,0,81
64136,Sales & Marketing,region_26,Bachelors,m,other,2,36,2.0,2,0,0,52
7427,Operations,region_2,Bachelors,f,other,2,26,4.0,2,0,0,57
60277,Technology,region_13,Bachelors,m,sourcing,2,33,4.0,10,1,0,81
47452,Technology,region_24,Bachelors,f,sourcing,1,28,3.0,3,1,0,78
24677,Sales & Marketing,region_31,,m,other,1,27,5.0,2,1,0,47
37716,Technology,region_2,Bachelors,f,other,1,33,1.0,4,1,0,84
18995,Sales & Marketing,region_15,Masters & above,m,other,1,36,3.0,4,0,0,50
72347,Sales & Marketing,region_28,Bachelors,m,sourcing,1,30,2.0,6,0,0,49
38438,Sales & Marketing,region_29,Bachelors,f,other,1,28,3.0,4,0,0,47
18307,Sales & Marketing,region_34,Bachelors,m,other,1,29,5.0,4,0,0,49
59923,Sales & Marketing,region_7,Bachelors,m,sourcing,2,37,5.0,9,0,0,52
9531,Sales & Marketing,region_33,Masters & above,m,sourcing,1,37,2.0,11,0,0,51
70623,Analytics,region_34,Bachelors,m,sourcing,1,33,3.0,9,0,0,81
61002,Operations,region_22,Bachelors,m,sourcing,2,24,5.0,3,0,0,59
13707,Sales & Marketing,region_2,Bachelors,f,sourcing,1,38,5.0,8,1,0,52
14443,HR,region_13,Bachelors,f,other,1,24,3.0,2,0,0,51
52848,HR,region_23,Bachelors,m,sourcing,1,31,3.0,2,0,0,47
61063,Operations,region_13,Masters & above,m,other,1,32,4.0,3,0,0,62
52043,Sales & Marketing,region_11,Bachelors,m,other,2,31,1.0,4,0,0,49
46322,Sales & Marketing,region_7,Bachelors,m,other,1,34,4.0,3,1,0,49
67893,Sales & Marketing,region_16,Bachelors,m,other,2,33,3.0,7,0,0,46
12560,Procurement,region_2,Bachelors,m,sourcing,1,53,5.0,8,1,0,73
46154,Operations,region_22,Bachelors,m,other,1,28,4.0,6,0,0,57
64076,Operations,region_2,Below Secondary,m,other,1,21,,1,1,0,56
977,HR,region_31,Bachelors,f,other,1,28,,1,1,0,50
75336,Sales & Marketing,region_2,,m,other,1,23,,1,0,0,49
53615,Finance,region_29,Masters & above,m,other,1,34,4.0,7,1,0,60
36276,Technology,region_2,Bachelors,m,other,2,35,5.0,3,0,0,84
65019,Operations,region_2,Bachelors,m,other,1,43,5.0,16,0,0,61
75856,Technology,region_22,Masters & above,m,sourcing,1,43,1.0,15,0,0,79
25124,Technology,region_8,Bachelors,f,other,2,28,3.0,4,0,0,81
48964,Sales & Marketing,region_15,Bachelors,m,sourcing,1,30,,1,0,0,40
17324,Finance,region_16,Bachelors,m,other,2,32,3.0,8,0,0,59
64554,Procurement,region_23,Masters & above,f,sourcing,1,35,3.0,3,0,0,70
43753,Analytics,region_2,Masters & above,m,sourcing,1,36,5.0,5,1,0,81
35071,Operations,region_7,Bachelors,f,sourcing,1,31,,1,0,0,60
31925,Legal,region_5,Bachelors,m,other,1,32,,1,0,0,63
43531,Analytics,region_10,Bachelors,m,other,3,29,5.0,6,0,0,81
61404,Procurement,region_26,Bachelors,m,other,2,37,5.0,10,1,0,70
62111,Technology,region_5,Bachelors,m,sourcing,1,47,3.0,18,0,0,85
42859,Operations,region_16,Bachelors,m,sourcing,1,30,2.0,6,0,0,58
40416,Legal,region_22,Bachelors,m,sourcing,1,28,5.0,4,0,0,91
16434,Operations,region_22,Bachelors,f,sourcing,1,34,5.0,7,0,0,61
22521,Technology,region_33,Bachelors,f,other,1,30,4.0,4,1,0,83
32427,Procurement,region_14,Masters & above,f,sourcing,1,37,1.0,4,0,0,70
74296,HR,region_28,Masters & above,f,sourcing,1,37,5.0,11,0,0,50
76924,Operations,region_22,Masters & above,m,other,1,40,3.0,11,1,0,60
71040,Analytics,region_2,Masters & above,m,other,1,47,1.0,17,0,0,86
40781,Technology,region_15,Masters & above,m,other,2,35,2.0,9,1,0,77
75690,Sales & Marketing,region_9,Masters & above,m,other,1,37,3.0,4,0,0,50
31002,Sales & Marketing,region_28,Masters & above,m,other,2,40,4.0,10,0,0,45
19570,Sales & Marketing,region_13,Bachelors,m,other,2,35,2.0,7,0,0,51
63246,Technology,region_2,Masters & above,f,other,1,59,5.0,17,1,0,80
34880,Operations,region_7,Bachelors,m,sourcing,2,32,3.0,7,0,0,58
72433,Operations,region_22,Bachelors,m,sourcing,1,26,,1,1,0,55
44936,Sales & Marketing,region_16,Bachelors,m,sourcing,1,45,5.0,6,0,0,55
77364,Procurement,region_15,Bachelors,m,other,1,32,3.0,6,1,0,71
415,Operations,region_27,Bachelors,f,sourcing,2,28,5.0,3,1,1,60
1346,Analytics,region_2,,m,other,1,43,3.0,13,0,0,85
33313,HR,region_22,Bachelors,m,other,1,33,4.0,1,0,0,55
8672,Analytics,region_22,Bachelors,f,sourcing,1,33,4.0,5,0,0,83
30690,Sales & Marketing,region_15,Masters & above,m,other,1,41,4.0,11,0,0,46
5284,Operations,region_27,Masters & above,f,other,2,41,5.0,11,0,0,59
41151,Sales & Marketing,region_32,Bachelors,f,sourcing,1,31,4.0,2,0,0,51
52551,Procurement,region_34,Masters & above,m,sourcing,1,32,2.0,5,0,0,68
56917,Analytics,region_11,Bachelors,m,sourcing,1,27,3.0,5,1,0,85
24484,Procurement,region_8,Bachelors,m,other,1,29,3.0,3,1,0,68
9637,Sales & Marketing,region_2,Bachelors,m,referred,1,39,4.0,8,1,0,47
64909,Technology,region_2,Masters & above,f,sourcing,1,43,3.0,5,1,0,79
43020,Sales & Marketing,region_4,Masters & above,m,other,1,43,5.0,13,0,0,50
62498,Legal,region_2,Bachelors,m,sourcing,1,26,4.0,3,1,0,55
50501,Sales & Marketing,region_22,Bachelors,m,sourcing,1,27,3.0,4,0,0,51
66241,Finance,region_2,Bachelors,f,sourcing,1,30,5.0,7,1,0,59
74903,Sales & Marketing,region_15,Bachelors,m,other,1,30,2.0,5,0,0,49
12623,Sales & Marketing,region_22,Bachelors,m,other,1,20,2.0,2,0,0,47
39433,HR,region_22,Bachelors,m,sourcing,1,29,4.0,5,1,0,46
14482,Operations,region_14,Bachelors,f,other,1,43,3.0,7,1,0,59
727,Operations,region_2,Bachelors,f,sourcing,1,24,3.0,2,0,0,59
1501,Technology,region_27,Below Secondary,m,sourcing,1,25,3.0,4,1,0,79
35905,Sales & Marketing,region_15,Masters & above,m,sourcing,1,40,2.0,10,0,0,51
60902,Operations,region_7,Masters & above,m,other,1,38,4.0,5,0,0,56
3087,Operations,region_13,Masters & above,m,other,1,39,3.0,6,1,0,56
57372,Analytics,region_22,,m,other,1,27,,1,1,0,85
20446,Sales & Marketing,region_21,Bachelors,m,sourcing,1,26,4.0,3,0,0,48
1553,Sales & Marketing,region_11,Bachelors,m,sourcing,1,33,3.0,6,1,0,50
31110,Sales & Marketing,region_19,Bachelors,f,sourcing,1,30,3.0,5,0,0,50
1100,Procurement,region_2,Bachelors,f,other,2,59,5.0,18,1,0,70
37972,Analytics,region_22,,m,sourcing,4,27,5.0,3,1,0,86
77470,Procurement,region_5,Masters & above,f,other,1,34,3.0,3,1,1,71
23876,Sales & Marketing,region_12,Bachelors,m,other,1,28,3.0,1,1,0,46
73997,Sales & Marketing,region_6,Bachelors,m,other,4,30,5.0,5,1,0,45
73798,Procurement,region_22,Bachelors,f,sourcing,2,29,,1,0,0,67
3051,Analytics,region_7,Bachelors,m,sourcing,1,30,3.0,5,0,0,84
38847,Procurement,region_23,Masters & above,m,other,1,40,4.0,8,0,0,72
69779,Operations,region_19,Bachelors,f,other,1,43,3.0,15,0,0,55
17803,Sales & Marketing,region_2,Bachelors,f,sourcing,1,60,3.0,12,0,0,54
70184,Sales & Marketing,region_26,Bachelors,m,sourcing,1,42,2.0,7,0,0,50
7076,Operations,region_14,Bachelors,m,other,1,28,3.0,2,0,0,64
44215,Technology,region_14,Bachelors,m,other,1,30,4.0,7,1,0,75
37818,Sales & Marketing,region_32,Bachelors,m,sourcing,1,35,2.0,8,0,0,50
45108,HR,region_13,Bachelors,m,other,1,24,,1,0,0,49
18808,Sales & Marketing,region_16,Masters & above,m,sourcing,1,38,5.0,10,0,0,49
22719,Procurement,region_2,Below Secondary,m,other,1,21,5.0,2,1,0,72
33982,Finance,region_28,Masters & above,m,other,1,34,5.0,8,1,0,58
33717,Operations,region_4,Masters & above,m,sourcing,1,30,5.0,5,1,0,61
42725,Technology,region_25,Masters & above,m,sourcing,1,33,3.0,5,1,0,80
10864,Operations,region_2,Bachelors,m,sourcing,1,37,3.0,7,1,0,59
77062,Procurement,region_2,Masters & above,f,other,1,53,3.0,13,0,0,66
40020,Procurement,region_22,Bachelors,f,other,2,28,,1,0,0,69
65717,Operations,region_7,Bachelors,m,sourcing,1,45,3.0,7,1,0,62
2624,Sales & Marketing,region_22,Bachelors,m,sourcing,2,48,3.0,2,0,0,48
1459,Sales & Marketing,region_34,Bachelors,m,other,1,29,5.0,5,1,0,54
56944,Procurement,region_2,Bachelors,f,other,1,45,5.0,16,1,0,69
52001,Analytics,region_2,Bachelors,m,sourcing,1,34,3.0,3,0,0,78
20879,Sales & Marketing,region_28,Masters & above,m,other,1,40,1.0,5,0,0,52
61597,Sales & Marketing,region_21,Bachelors,m,other,1,35,2.0,8,0,0,48
44798,Operations,region_22,Bachelors,m,sourcing,1,48,4.0,6,1,0,65
15775,Procurement,region_16,Masters & above,f,other,1,34,4.0,7,0,0,70
36036,Procurement,region_13,Masters & above,f,other,1,33,4.0,9,0,0,68
32144,Operations,region_26,Bachelors,m,sourcing,1,29,2.0,2,0,0,55
